Day,Interest
3/30/17,58
3/31/17,58
4/1/17,60
4/2/17,64
4/3/17,58
4/4/17,59
4/5/17,62
4/6/17,61
4/7/17,63
4/8/17,64
4/9/17,65
4/10/17,69
4/11/17,66
4/12/17,63
4/13/17,68
4/14/17,64
4/15/17,64
4/16/17,100
4/17/17,83
4/18/17,72
